"Data Source","WDI Database Archives",

"Last Updated Date","2018-02-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","15786300096","21915394048","26265474048","31761282144","37215702144","44200500096","49746800000","52596400000","59881149856","62421799808","63825145904","65037120192","72322660160","78006109840","77854949856","80970207872","87441360000","93096905792","93286839984","94444623088","92215359000","89826324000","95727217000","91748760000","82022920000","69488980000","58121028000","36190528000","17381345000","","","",
"Afghanistan","AFG","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","136710000256","150780000512","177660000512","205338009888","252336004560","296309999744","296562000768","295469994160","344967195616","406577996928","436169299264","497288296128","565577199328","609785902624","691963196032","778270298272","966575399360","1237178497440","1438380403200","1705401495776","1992817806400","2340908594896","2698122354992","0","3441630377360","3799737947120","4268052086656","6430818719328","8650941587520","11864808976000","16680697818976","0","","","","","","","","","","","","","","","3006174078109","4300888109480.71","5166294099384.92","6066937662081.04","7187301363396.44","7474394835258.84","6437952492742.52","4818885843909.28","2811078320843.59","","","",
"Angola","AGO","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5478904331593.76","230419286776667","396192818966436","624590660220310","180739136109.49","717220298354.561","1915775739021.46","4834611461869.1","7847712625701.59","10731606838179.4","16526221220052.8","24911003984335.6","33776932279671.8","56982580606641.6","74537527912915.5","74070006040205","86318779831472.6","72952965176017.7","57167905379588.2","35785250734424.6","","","",
"Albania","ALB","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3570739793856","5372480387712","7573048003072","9530846995520","11257702605216","13472047305472","14764534288896","18028795825073.4","18408259346033.4","19534796924258.1","21650866922262.8","23551926454093.8","25325761835439.3","28031395362862","27733957857276.3","26144083849784.2","27447949903517.6","25683589440483.8","21344751116194.8","14936751909397.8","8365604071319.95","","","",
"Andorra","AND","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","5818500000","6123600000","7384499608","8988400488","10858400424","11675999576","14456400064","16483599704","18575199544","21095200456","23679600296","24472000584","27456800456","32365200032","36693000576","38769300032","37449000576","38353499712","35996400256","39209399808","44350199424","44277300032","48753899968","52625700288","54875599872","55413000384","57702699808","61954799616","57238499232","55836899808","55344700640","55500100128","54037799904","58636999872","61463199872","61801500192","64318800128","58689599936","54684000000","48083000000","34349600000","15385800000","","","","","","","","",
"Arab League states","ARB","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","137652600704","368165509936","538032193808","1024226597440","953945494184","1080938196088","1128319594368","1450662507744","1792285705888","2070645296928","2204040691904","2841269984384","3026836699264","3124571799296","3296400002816","3431220689120","3664904008448","3190441990144","3587976012800","3614572016896","3489162992320","3690900983872","4068051014976","4260157994624","4550640001152","4642847985664","5064553988992","5713605003904","6883579999360","7466778008448","8425199988736","10184645999232","12638495985664","14773878000000","19799535000000","21577920000000","21477922000000","20446088000000","17340918000000","14660345000000","11624036000000","5705536000000","","","",
"Argentina","ARG","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","1.50139999725223","1.49619999657869","1.64760000053644","2.19360001268387","3.10179999545216","1003.94079996064","1005.18680001634","1007.9789999392","4010.22219995728","9612.43350002486","13769.4617999645","15017.1000001192","26535.4599999166","48562.200000317","75896.070000286","180242.21000267","795797.009998474","2589195.90997221","7333124.73999951","21785288.0995157","41182503.7202609","87600933.5000731","229927043.501735","1152374844.0125","8199989327.33123","42205005167.7376","88889972185.3002","242390967017.201","1041156763267.6","11953694624568","448207252048","1012249999552","1644844997312","2364298004928","2673551531584","2598612597352","3025830971880","3720975252400","4025583874600","4100912223856","4073173883802.11","3208580625064","3753661031656","4752888447944","5633887275352","6511968499680","7429915861000","8748892368000","8642958714000","9164229277000","10936468792000","11662844885000","12150114390000","9989466344000","5895913855000","","","",
"Armenia","ARM","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12162656118.4","143127667303.42","1202114148508","1974016170640","2664605169065.9","3372352064712.6","4514795146800.6","5034897483057.1","6824396104117.1","7274959301384.3","9534875903433.2","10287988429846","12295566206784.4","14987694464574.2","18943738924887.4","25579700594664","24069559540047.2","24512919093633.6","25517894688488.5","27047119299502","25580928392650.9","20089842451492.8","11719369269093.6","","","",
"American Samoa","ASM","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Money and quasi money (M2) (current LCU)","FM.LBL.MQMY.CN","","","","","","","","","","","","","","","","","5881020090","6389341032","6151505032","6792836000","7844223032","8721964000","10112222976","11475118000","14208235952","15550876112","17354350780","20499710677.2202","26865946845.4596","30678217920","33626277088","34348181788","38242937424","40264761048","42505570016","45516443952","54643449091","52270173024","54953904103","61935155213","75304793087","78419130280","84479722579","87395747500","98858550032","102593217830","106567337504","113160116862","119561371720","113493988558","92059811190","85843396164.2846","74077606991.4414","59698294163.906","41395012468.4134","22599724206.6722","","","",
