,date,open,close,high,low,volume,code
0,2013-01-04,5.553,5.441,5.597,5.417,443851.0,000001
1,2013-01-07,5.437,5.546,5.563,5.403,357169.0,000001
2,2013-01-08,5.546,5.444,5.57,5.396,312479.0,000001
3,2013-01-09,5.43,5.396,5.451,5.376,251329.0,000001
4,2013-01-10,5.396,5.4,5.478,5.373,240030.0,000001
5,2013-01-11,5.4,5.287,5.458,5.257,251268.0,000001
6,2013-01-14,5.27,5.815,5.815,5.27,939895.0,000001
7,2013-01-15,5.825,5.992,6.097,5.815,984064.0,000001
8,2013-01-16,5.992,6.063,6.094,5.859,682700.0,000001
9,2013-01-17,6.022,6.036,6.22,5.941,675772.0,000001
10,2013-01-18,6.08,6.237,6.267,5.988,665367.0,000001
11,2013-01-21,6.227,6.703,6.703,6.121,782136.0,000001
12,2013-01-22,6.621,6.968,7.111,6.577,1068769.0,000001
13,2013-01-23,6.808,6.822,6.945,6.567,635698.0,000001
14,2013-01-24,6.815,6.618,7.002,6.567,857236.0,000001
15,2013-01-25,6.635,6.516,6.662,6.444,614312.0,000001
16,2013-01-28,6.519,7.169,7.169,6.519,1163995.0,000001
17,2013-01-29,7.247,7.275,7.332,7.019,1082894.0,000001
18,2013-01-30,7.179,7.258,7.261,7.077,583624.0,000001
19,2013-01-31,7.237,7.179,7.261,7.077,415884.0,000001
20,2013-02-01,7.152,7.632,7.673,7.074,824080.0,000001
21,2013-02-04,7.574,7.489,7.754,7.387,857419.0,000001
22,2013-02-05,7.397,7.411,7.54,7.21,426891.0,000001
23,2013-02-06,7.383,7.438,7.479,7.298,380826.0,000001
24,2013-02-07,7.383,7.094,7.421,6.91,586126.0,000001
25,2013-02-08,7.07,7.06,7.162,6.938,462024.0,000001
26,2013-02-18,7.115,7.111,7.312,7.053,421813.0,000001
27,2013-02-19,7.077,7.081,7.183,7.033,486508.0,000001
28,2013-02-20,7.094,6.907,7.142,6.7,659157.0,000001
29,2013-02-21,6.805,6.669,6.805,6.485,740244.0,000001
30,2013-02-22,6.635,6.506,6.7,6.448,468595.0,000001
31,2013-02-25,6.553,6.808,6.907,6.54,616300.0,000001
32,2013-02-26,6.74,7.094,7.475,6.703,1034814.0,000001
33,2013-02-27,7.149,7.152,7.424,7.094,700676.0,000001
34,2013-02-28,7.193,7.826,7.826,7.155,1119891.0,000001
35,2013-03-01,7.802,7.846,7.907,7.611,1037823.0,000001
36,2013-03-04,7.639,7.4,7.826,7.326,1098779.0,000001
37,2013-03-05,7.417,8.142,8.142,7.414,1168987.0,000001
38,2013-03-06,8.336,8.251,8.408,8.139,1138281.0,000001
39,2013-03-07,8.149,8.078,8.207,7.741,892670.0,000001
40,2013-03-08,8.098,7.778,8.159,7.642,925868.0,000001
41,2013-03-11,7.73,7.7,7.819,7.434,573293.0,000001
42,2013-03-12,7.69,7.39,7.754,7.251,840769.0,000001
43,2013-03-13,7.38,7.516,7.683,7.353,836901.0,000001
44,2013-03-14,7.485,7.373,7.516,7.247,577853.0,000001
45,2013-03-15,7.37,7.554,7.7,7.077,943574.0,000001
46,2013-03-18,7.383,7.264,7.485,7.217,745294.0,000001
47,2013-03-19,7.247,7.315,7.394,7.159,529771.0,000001
48,2013-03-20,7.292,7.86,7.918,7.281,1309370.0,000001
49,2013-03-21,7.822,7.812,7.897,7.717,715317.0,000001
50,2013-03-22,7.809,7.836,7.873,7.751,411825.0,000001
51,2013-03-25,7.87,7.744,7.921,7.713,452893.0,000001
52,2013-03-26,7.686,7.533,7.686,7.513,559773.0,000001
53,2013-03-27,7.543,7.537,7.713,7.458,385996.0,000001
54,2013-03-28,7.145,6.812,7.145,6.785,1175043.0,000001
55,2013-03-29,6.812,6.846,6.931,6.683,569848.0,000001
56,2013-04-01,6.873,6.938,7.009,6.839,385541.0,000001
57,2013-04-02,6.934,6.955,7.111,6.87,463054.0,000001
58,2013-04-03,6.996,6.958,7.074,6.91,224589.0,000001
59,2013-04-08,6.734,6.781,6.839,6.662,407714.0,000001
60,2013-04-09,6.802,6.785,6.893,6.774,380491.0,000001
61,2013-04-10,6.764,6.601,6.771,6.509,507767.0,000001
62,2013-04-11,6.666,6.604,6.703,6.563,311788.0,000001
63,2013-04-12,6.618,6.431,6.628,6.397,805322.0,000001
64,2013-04-15,6.444,6.315,6.485,6.264,570956.0,000001
65,2013-04-16,6.237,6.38,6.383,6.159,655492.0,000001
66,2013-04-17,6.363,6.291,6.386,6.142,642703.0,000001
67,2013-04-18,6.199,6.499,6.529,6.155,901244.0,000001
68,2013-04-19,6.465,6.887,7.009,6.444,1478380.0,000001
69,2013-04-22,6.805,6.883,6.931,6.774,692914.0,000001
70,2013-04-23,6.917,6.492,6.938,6.482,802659.0,000001
71,2013-04-24,6.38,6.601,6.734,6.312,733380.0,000001
72,2013-04-25,6.465,6.407,6.594,6.376,446855.0,000001
73,2013-04-26,6.461,6.363,6.54,6.346,336738.0,000001
74,2013-05-02,6.329,6.434,6.438,6.261,237572.0,000001
75,2013-05-03,6.458,6.713,6.876,6.417,720126.0,000001
76,2013-05-06,6.751,6.91,6.996,6.696,840544.0,000001
77,2013-05-07,6.859,6.89,6.934,6.764,424170.0,000001
78,2013-05-08,6.924,6.934,7.101,6.778,628787.0,000001
79,2013-05-09,6.897,6.849,6.897,6.737,483613.0,000001
80,2013-05-10,6.805,6.87,6.948,6.768,386248.0,000001
81,2013-05-13,6.842,6.778,6.873,6.737,323879.0,000001
82,2013-05-14,6.778,6.563,6.781,6.502,498160.0,000001
83,2013-05-15,6.563,6.567,6.608,6.516,242082.0,000001
84,2013-05-16,6.536,6.91,6.965,6.482,813115.0,000001
85,2013-05-17,6.9,6.938,6.985,6.778,595807.0,000001
86,2013-05-20,6.968,7.138,7.315,6.934,876974.0,000001
87,2013-05-21,7.077,7.179,7.217,7.057,447574.0,000001
88,2013-05-22,7.179,7.2,7.244,7.118,413113.0,000001
89,2013-05-23,7.149,6.982,7.213,6.975,507409.0,000001
90,2013-05-24,6.992,7.04,7.125,6.91,332809.0,000001
91,2013-05-27,7.006,6.948,7.104,6.904,358546.0,000001
92,2013-05-28,6.948,7.349,7.383,6.887,783617.0,000001
93,2013-05-29,7.353,7.241,7.38,7.22,532597.0,000001
94,2013-05-30,7.22,7.213,7.343,7.166,425441.0,000001
95,2013-05-31,7.23,7.142,7.312,7.138,361862.0,000001
96,2013-06-03,7.121,7.115,7.21,7.074,343792.0,000001
97,2013-06-04,7.115,7.189,7.258,7.07,442156.0,000001
98,2013-06-05,7.149,7.081,7.183,7.016,305745.0,000001
99,2013-06-06,7.006,6.849,7.067,6.819,435270.0,000001
100,2013-06-07,6.849,6.645,6.893,6.604,402000.0,000001
101,2013-06-13,6.57,6.393,6.577,6.312,381342.0,000001
102,2013-06-14,6.465,6.485,6.533,6.397,328553.0,000001
103,2013-06-17,6.519,6.546,6.655,6.448,309210.0,000001
104,2013-06-18,6.618,6.713,6.819,6.618,389599.0,000001
105,2013-06-19,6.652,6.546,6.655,6.516,369977.0,000001
106,2013-06-20,6.552,6.14,6.563,6.08,903066.0,000001
107,2013-06-21,6.014,6.195,6.256,5.959,614002.0,000001
108,2013-06-24,6.102,5.575,6.102,5.575,1166671.0,000001
109,2013-06-25,5.382,5.481,5.547,5.02,1717162.0,000001
110,2013-06-26,5.492,5.361,5.492,5.262,1017151.0,000001
